,res_unit,com_unit,tot_unit,land_sqft,tot_sqft,price,age_when_sold,neighb_category
489,2,0,2,1800,2325,415000,27,1.0
490,2,0,2,2000,2325,450000,27,1.0
491,2,0,2,2000,2325,499990,28,1.0
492,2,0,2,1358,2064,455525,8,1.0
493,2,0,2,2000,1800,435000,50,1.0
494,2,0,2,2250,1760,350000,55,1.0
495,2,0,2,2000,2860,120000,50,1.0
496,2,0,2,2608,1661,379600,45,1.0
497,2,0,2,2235,1790,425000,65,1.0
498,2,0,2,2575,2932,545000,100,1.0
499,2,0,2,2575,3160,559000,114,1.0
500,2,0,2,2510,1680,360000,45,1.0
501,2,0,2,3439,2126,385000,61,1.0
502,2,0,2,3400,2580,468000,100,1.0
503,2,0,2,1634,1986,436000,105,1.0
504,2,0,2,2575,1385,270000,90,1.0
505,2,0,2,10300,2440,584500,65,1.0
506,2,0,2,3092,2142,415000,13,1.0
507,2,0,2,2575,1970,395200,50,1.0
508,2,0,2,3825,3262,500000,95,1.0
509,2,0,2,2678,1246,410000,81,1.0
510,2,0,2,2575,2145,490000,70,1.0
511,2,0,2,2060,1522,410000,70,1.0
512,2,0,2,2104,3246,410000,95,1.0
513,2,0,2,2060,2620,470000,60,1.0
514,2,0,2,2840,1145,525000,28,1.0
515,2,0,2,2575,2096,445000,110,1.0
516,2,0,2,2575,2200,235000,85,1.0
517,2,0,2,2575,2200,465000,85,1.0
518,2,0,2,4041,2304,405000,106,1.0
519,2,0,2,5150,1800,360000,95,1.0
520,2,0,2,2575,2496,398000,95,1.0
521,3,0,3,2167,2650,470000,45,1.0
522,3,0,3,1800,3450,440000,9,1.0
523,3,0,3,2968,2073,305000,50,1.0
524,3,0,3,2588,3600,327000,85,1.0
525,3,0,3,2900,3720,200000,85,1.0
526,3,0,3,2834,3720,570064,86,1.0
527,3,0,3,2900,3720,450000,85,1.0
528,3,0,3,3008,3720,550000,85,1.0
529,3,0,3,6000,3620,600000,90,1.0
530,3,0,3,6333,2137,545000,90,1.0
531,3,0,3,2206,3150,535000,90,1.0
532,3,0,3,2918,2415,275000,101,1.0
533,3,0,3,2765,1560,450000,90,1.0
534,3,0,3,2277,1560,200000,85,1.0
535,3,0,3,2277,1560,175000,85,1.0
536,3,0,3,2277,1560,225000,85,1.0
537,3,0,3,2575,3219,685000,7,1.0
538,3,0,3,2575,2156,535000,86,1.0
539,3,0,3,2575,1800,525000,90,1.0
540,3,0,3,2575,3610,564000,85,1.0
541,3,0,3,2506,2836,600000,86,1.0
542,3,0,3,2060,2480,410000,95,1.0
543,3,0,3,2549,3372,555000,114,1.0
544,4,0,4,2575,2680,480000,87,1.0
545,4,0,4,2609,3403,560000,86,1.0
546,4,0,4,2609,3403,335000,86,1.0
547,4,0,4,2549,3360,588000,89,1.0
548,1,0,1,9000,2746,750000,65,1.0
549,1,0,1,4504,1140,439000,60,1.0
550,1,0,1,4504,1681,599000,80,1.0
551,1,0,1,4010,974,500000,70,1.0
552,1,0,1,3255,1672,475000,90,1.0
553,1,0,1,4750,1408,750000,90,1.0
554,1,0,1,4750,1007,430000,90,1.0
555,1,0,1,4879,1281,34000,70,1.0
556,1,0,1,5000,1742,575000,114,1.0
557,1,0,1,3566,1134,449000,85,1.0
558,1,0,1,1350,680,199000,95,1.0
559,1,0,1,2508,1026,200000,91,1.0
560,1,0,1,6441,1400,400000,95,1.0
561,1,0,1,2513,540,325000,80,1.0
562,1,0,1,2513,1482,528000,8,1.0
563,1,0,1,5000,1738,450000,96,1.0
564,1,0,1,2525,794,250000,75,1.0
565,1,0,1,2500,1512,397000,75,1.0
566,1,0,1,2500,1345,162500,90,1.0
567,1,0,1,5004,600,388000,56,1.0
568,1,0,1,2930,1358,350000,85,1.0
569,1,0,1,7360,2509,670000,65,1.0
570,1,0,1,2322,1254,185740,75,1.0
